model,dtype,brand,brand_title,code,code_alias,model_name,ver_name,source_file
A3288,mob,apple,Apple,D47AP,"iPhone17,3",iPhone 16,中国大陆 & 港澳,apple_all
A3287,mob,apple,Apple,D47AP,"iPhone17,3",iPhone 16,其他国家和地区,apple_all
A3082,mob,apple,Apple,D48AP,"iPhone17,4",iPhone 16 Plus,美国,apple_all
A3289,mob,apple,Apple,D48AP,"iPhone17,4",iPhone 16 Plus,"加拿大, 日本, 墨西哥, 部分中东国家",apple_all
A3291,mob,apple,Apple,D48AP,"iPhone17,4",iPhone 16 Plus,中国大陆 & 港澳,apple_all
A3290,mob,apple,Apple,D48AP,"iPhone17,4",iPhone 16 Plus,其他国家和地区,apple_all
A3083,mob,apple,Apple,D93AP,"iPhone17,1",iPhone 16 Pro,美国,apple_all
A3292,mob,apple,Apple,D93AP,"iPhone17,1",iPhone 16 Pro,"加拿大, 日本, 墨西哥, 部分中东国家",apple_all
A3294,mob,apple,Apple,D93AP,"iPhone17,1",iPhone 16 Pro,中国大陆 & 港澳,apple_all
A3293,mob,apple,Apple,D93AP,"iPhone17,1",iPhone 16 Pro,其他国家和地区,apple_all
A3084,mob,apple,Apple,D94AP,"iPhone17,2",iPhone 16 Pro Max,美国,apple_all
A3295,mob,apple,Apple,D94AP,"iPhone17,2",iPhone 16 Pro Max,"加拿大, 日本, 墨西哥, 部分中东国家",apple_all
A3297,mob,apple,Apple,D94AP,"iPhone17,2",iPhone 16 Pro Max,中国大陆 & 港澳,apple_all
A3296,mob,apple,Apple,D94AP,"iPhone17,2",iPhone 16 Pro Max,其他国家和地区,apple_all
A3212,mob,apple,Apple,V59AP,"iPhone17,5",iPhone 16e,美国,apple_all
A3408,mob,apple,Apple,V59AP,"iPhone17,5",iPhone 16e,"加拿大, 墨西哥, 部分中东国家",apple_all
A3410,mob,apple,Apple,V59AP,"iPhone17,5",iPhone 16e,中国大陆,apple_all
A3409,mob,apple,Apple,V59AP,"iPhone17,5",iPhone 16e,其他国家和地区,apple_all
A3258,mob,apple,Apple,V57AP,"iPhone18,3",iPhone 17,美国,apple_all
A3519,mob,apple,Apple,V57AP,"iPhone18,3",iPhone 17,"加拿大, 日本, 墨西哥, 部分中东国家",apple_all
A3521,mob,apple,Apple,V57AP,"iPhone18,3",iPhone 17,中国大陆,apple_all
A3520,mob,apple,Apple,V57AP,"iPhone18,3",iPhone 17,其他国家和地区,apple_all
A3260,mob,apple,Apple,D23AP,"iPhone18,4",iPhone Air,"北美, 部分中东国家",apple_all
A3518,mob,apple,Apple,D23AP,"iPhone18,4",iPhone Air,中国大陆,apple_all
A3516,mob,apple,Apple,D23AP,"iPhone18,4",iPhone Air,日本,apple_all
A3517,mob,apple,Apple,D23AP,"iPhone18,4",iPhone Air,其他国家和地区,apple_all
A3256,mob,apple,Apple,V53AP,"iPhone18,1",iPhone 17 Pro,美国,apple_all
A3522,mob,apple,Apple,V53AP,"iPhone18,1",iPhone 17 Pro,"加拿大, 日本, 墨西哥, 部分中东国家",apple_all
A3524,mob,apple,Apple,V53AP,"iPhone18,1",iPhone 17 Pro,中国大陆,apple_all
A3523,mob,apple,Apple,V53AP,"iPhone18,1",iPhone 17 Pro,其他国家和地区,apple_all
A3257,mob,apple,Apple,V54AP,"iPhone18,2",iPhone 17 Pro Max,美国,apple_all
A3525,mob,apple,Apple,V54AP,"iPhone18,2",iPhone 17 Pro Max,"加拿大, 日本, 墨西哥, 部分中东国家",apple_all
A3527,mob,apple,Apple,V54AP,"iPhone18,2",iPhone 17 Pro Max,中国大陆,apple_all
A3526,mob,apple,Apple,V54AP,"iPhone18,2",iPhone 17 Pro Max,其他国家和地区,apple_all
A3575,mob,apple,Apple,V159AP,"iPhone18,5",iPhone 17e,"北美, 日本, 部分中东国家",apple_all
A3635,mob,apple,Apple,V159AP,"iPhone18,5",iPhone 17e,中国大陆,apple_all
A3634,mob,apple,Apple,V159AP,"iPhone18,5",iPhone 17e,其他国家和地区,apple_all
A1219,pad,apple,Apple,K48AP,"iPad1,1",iPad,无线局域网,apple_all
A1337,pad,apple,Apple,K48AP,"iPad1,1",iPad,无线局域网 + 3G,apple_all
A1395,pad,apple,Apple,K93AP,"iPad2,1",iPad 2,无线局域网,apple_all
A1396,pad,apple,Apple,K94AP,"iPad2,2",iPad 2,(无线局域网 + 3G) (GSM),apple_all
A1397,pad,apple,Apple,K95AP,"iPad2,3",iPad 2,(无线局域网 + 3G) (CDMA),apple_all
A1395,pad,apple,Apple,K93AAP,"iPad2,4",iPad 2,"无线局域网, 2012",apple_all
A1416,pad,apple,Apple,J1AP,"iPad3,1",iPad (第 3 代),无线局域网,apple_all
A1403,pad,apple,Apple,J2AP,"iPad3,2",iPad (第 3 代),(无线局域网 + 蜂窝网络) (VZ),apple_all
A1430,pad,apple,Apple,J2AAP,"iPad3,3",iPad (第 3 代),无线局域网 + 蜂窝网络,apple_all
A1458,pad,apple,Apple,P101AP,"iPad3,4",iPad (第 4 代),无线局域网,apple_all
A1459,pad,apple,Apple,P102AP,"iPad3,5",iPad (第 4 代),无线局域网 + 蜂窝网络,apple_all
A1460,pad,apple,Apple,P103AP,"iPad3,6",iPad (第 4 代),(无线局域网 + 蜂窝网络) (中国大陆),apple_all
A1822,pad,apple,Apple,J71sAP,"iPad6,11",iPad (第 5 代),无线局域网,apple_all
A1823,pad,apple,Apple,J72sAP,"iPad6,12",iPad (第 5 代),无线局域网 + 蜂窝网络,apple_all
A1893,pad,apple,Apple,J71bAP,"iPad7,5",iPad (第 6 代),无线局域网,apple_all
A1954,pad,apple,Apple,J72bAP,"iPad7,6",iPad (第 6 代),无线局域网 + 蜂窝网络,apple_all
A2197,pad,apple,Apple,J171AP,"iPad7,11",iPad (第 7 代),无线局域网,apple_all
A2198,pad,apple,Apple,J172AP,"iPad7,12",iPad (第 7 代),(无线局域网 + 蜂窝网络) (eSIM),apple_all
A2200,pad,apple,Apple,J172AP,"iPad7,12",iPad (第 7 代),(无线局域网 + 蜂窝网络) (eSIM),apple_all
A2199,pad,apple,Apple,J172AP,"iPad7,12",iPad (第 7 代),(无线局域网 + 蜂窝网络) (中国大陆),apple_all
A2270,pad,apple,Apple,J171aAP,"iPad11,6",iPad (第 8 代),无线局域网,apple_all
A2428,pad,apple,Apple,J172aAP,"iPad11,7",iPad (第 8 代),(无线局域网 + 蜂窝网络) (eSIM),apple_all
A2429,pad,apple,Apple,J172aAP,"iPad11,7",iPad (第 8 代),(无线局域网 + 蜂窝网络) (eSIM),apple_all
A2430,pad,apple,Apple,J172aAP,"iPad11,7",iPad (第 8 代),(无线局域网 + 蜂窝网络) (中国大陆),apple_all
A2602,pad,apple,Apple,J181AP,"iPad12,1",iPad (第 9 代),无线局域网,apple_all
A2603,pad,apple,Apple,J182AP,"iPad12,2",iPad (第 9 代),(无线局域网 + 蜂窝网络) (eSIM),apple_all
A2604,pad,apple,Apple,J182AP,"iPad12,2",iPad (第 9 代),(无线局域网 + 蜂窝网络) (eSIM),apple_all
A2605,pad,apple,Apple,J182AP,"iPad12,2",iPad (第 9 代),(无线局域网 + 蜂窝网络) (中国大陆),apple_all
A2696,pad,apple,Apple,J271AP,"iPad13,18",iPad (第 10 代),无线局域网,apple_all
A2757,pad,apple,Apple,J272AP,"iPad13,19",iPad (第 10 代),(无线局域网 + 蜂窝网络) (eSIM),apple_all
A2777,pad,apple,Apple,J272AP,"iPad13,19",iPad (第 10 代),(无线局域网 + 蜂窝网络) (中国大陆),apple_all
